,lname
0,abacus computers ltd
1,pharmacia healthcare ltd(merged)
2,adarsh chemicals & fertilisers ltd
3,torrent power aec ltd(merged)
4,alpine industries ltd
5,amit alcohol & carbon dioxide ltd (merged)
6,anagram finance ltd (merged)
7,andhra valley power supply company ltd (merged)
8,abc bearings ltd(merged)
9,arlem breweries ltd (merged)
10,apeejay tea ltd
11,atlas copco (india) ltd
12,avery india ltd
13,wopolin plastics ltd
14,best & crompton engineering ltd
15,itc bhadrachalam paperboards ltd (merged)
16,bhoruka steel & services ltd
17,aditya birla chemicals (india) ltd(merged)
18,blow plast ltd(merged)
19,bombay silk mills ltd (wound-up)
20,modistone ltd
21,borax morarji ltd(merged)
22,dhar cement ltd(liquated)
23,burroughs wellcome (india) ltd (merged)
24,cpec ltd
25,chicago pneumatic india ltd (merged)
26,chettinad cement corporation ltd
27,cifco finance ltd
28,international best foods ltd (merged)
29,wyeth ltd(merged)
30,daewoo motors india ltd
31,birla machining & toolings ltd(merged)
32,eicher ltd(merged)
33,hinduja foundries ltd(merged)
34,smithkline beecham pharmaceuticals ltd(merged)
35,fal industries ltd(merged)
36,ficom organics ltd(merged)
37,firth (india) steel company ltd
38,fulford (india) ltd
39,bosch rexroth (india) ltd
40,garware nylons ltd
41,williamson tea assam ltd(merged)
42,german remedies ltd (merged)
43,graham firth steel products (india) ltd
44,haryana petrochemicals ltd
45,graphite india ltd (merged)
46,gujarat lyka organics ltd (merged)
47,gujarat steel tubes ltd (wound up)
48,gujarat filaments ltd
49,si group - india ltd
50,hico products ltd
51,mondelez india foods pvt ltd
52,tvs suzuki ltd (merged)
53,ispl industries ltd
54,india foils ltd(merged)
55,india forge & drop stampings ltd
56,kodak india pvt ltd
57,india polyfibres ltd(merged)
58,india steamship company ltd(merged)
59,indian aluminium company ltd
60,gestetner india ltd(merged)
61,idi ltd
62,aditya birla nuvo ltd(merged)
63,indian seamless metal tubes ltd (merged)
64,indu nissan oxo chemicals industries ltd
65,siemens vdo automotive ltd(merged)
66,usha international ltd
67,jayant paper mills ltd
68,jindal iron & steel company ltd (merged)
69,rossell industries ltd
70,summit securities ltd(merged)
71,bosch chassis systems india ltd
72,khatau makanji spinning & weaving company ltd
73,kinetic motor company ltd (merged)
74,kirloskar pneumatic ltd (merged)
75,kunal engineering company ltd (liquidated)
76,light metal industries ltd (merged)
77,modi xerox ltd - (merged)
78,madura coats pvt ltd
79,mafatlal dyes & chemicals ltd
80,rhone-poulenc (india) ltd (merged)
81,siemens healthcare diagnostics ltd(merged)
82,mahindra ugine steel company ltd(merged)
83,mcdowell & company ltd (merged)
84,itw india pvt ltd
85,nsl ltd (merged)
86,narmada cement company ltd(merged)
87,nicco orissa ltd (merged)
88,jsw ispat steel ltd(merged)
89,fci oen connectors ltd
90,ocl india ltd(merged)
91,otis elevator company (india) ltd
92,parke davis (india) ltd (merged)
93,philips india ltd
94,ponni sugars (orissa) ltd
95,premier industries (india) ltd
96,steel strips ltd(merged)
97,punjab anand lamp industries ltd (merged)
98,nahar international ltd(merged)
99,punjab tractors ltd(merged)
